Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 06:10:01 UTC,Ajishima,Miso Bean & Soybean Instant Cup Soup,Pantry,6g,,,2004727P,,,,,,,,1.79,FALSE,1.79,FALSE,,
2018-08-15 06:10:08 UTC,Ajishima,Miso Bean & Soybean Soup Mix 2 pack,Pantry,12g,,,2005388P,,,,,,,,2.39,FALSE,2.39,FALSE,,
2018-08-15 06:09:43 UTC,Akta Vite,Drinking Chocolate,Drinks,375g,15 g (grammes),25,254177P,1520,5,2,1.2,80,31.5,13,6,FALSE,6,FALSE,,
2018-08-15 06:10:10 UTC,Alfa One,Pure Rice Bran Oil BBQ Spray,Pantry,225g,,,2143166P,3400KJ,0g,92g,21g,0g,0g,0mg,4.85,FALSE,4.85,FALSE,,
2018-08-15 06:10:10 UTC,Alfa One,Pure Rice Bran Oil,Pantry,3L,,,9419265P,3400KJ,0g,92g,21g,0g,0g,0mg,9,FALSE,9,FALSE,,
2018-08-15 06:09:51 UTC,Alize,Bleu,Liquor,750mL,,,7190833P,,,,,,,,54,FALSE,54,FALSE,,
2018-08-15 06:09:30 UTC,All Natural,Olive Oil Croutons,Fruit & Vegetables,150g,,,1444327P,,,,,,,,4,FALSE,4,FALSE,,
2018-08-15 06:09:31 UTC,All Natural,Chilli & Herb Croutons,Fruit & Vegetables,150g,,,1444407P,,,,,,,,4,FALSE,4,FALSE,,
2018-08-15 06:09:52 UTC,All Natural Bakery,Fruit And Nut Oat Slices,Pantry,100g,100g,1,7398426P,1798kJ,7.13g,19.96g,12.34g,52.36g,16.94g,193mg,2.7,TRUE,2.16,FALSE,,
2018-08-15 06:09:53 UTC,All Natural Bakery,Apricot Almond Yogurt Oat Slices,Pantry,100g,100g,1,7398379P,1807kJ,7.52g,21.06g,14.11g,52.02g,19.45g,186mg,2.7,TRUE,2.16,FALSE,,
2018-08-15 06:09:48 UTC,Allens,Drumsticks,Pantry,170g,100,8,3179497P,,3.2g,<1g,<1g,79.9g,44.5g,130mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:59 UTC,Allens,Frosty Fruits,Pantry,170g,,,3179486P,,,,,,,,3,TRUE,1.5,FALSE,,
